Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	IDHmut_4 Spectral Count	IDHmut_5 Spectral Count	IDHmut_6 Spectral Count	IDHwt_1 Spectral Count	IDHwt_2 Spectral Count	IDHwt_3 Spectral Count	IDHmut_4 Unique Spectral Count	IDHmut_5 Unique Spectral Count	IDHmut_6 Unique Spectral Count	IDHwt_1 Unique Spectral Count	IDHwt_2 Unique Spectral Count	IDHwt_3 Unique Spectral Count	IDHmut_4 Total Spectral Count	IDHmut_5 Total Spectral Count	IDHmut_6 Total Spectral Count	IDHwt_1 Total Spectral Count	IDHwt_2 Total Spectral Count	IDHwt_3 Total Spectral Count	IDHmut_4 Intensity	IDHmut_5 Intensity	IDHmut_6 Intensity	IDHwt_1 Intensity	IDHwt_2 Intensity	IDHwt_3 Intensity	IDHmut_4 MaxLFQ Intensity	IDHmut_5 MaxLFQ Intensity	IDHmut_6 MaxLFQ Intensity	IDHwt_1 MaxLFQ Intensity	IDHwt_2 MaxLFQ Intensity	IDHwt_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q14204|DYHC1_HUMAN	Q14204	DYHC1_HUMAN	DYNC1H1	4646	Homo sapiens	1:Experimental evidence at protein level	Cytoplasmic dynein 1 heavy chain 1	1.0	0.999	314	2261	2261	2261	378	392	456	359	354	322	378	392	456	359	354	322	378	392	456	359	354	322	7.5972583E10	7.669008E10	9.466776E10	8.7174185E10	7.8935269E10	6.9185159E10	1.49899776E9	1.45145587E9	1.80239667E9	1.66500851E9	1.5387959E9	1.40684237E9	
sp|Q14232|EI2BA_HUMAN	Q14232	EI2BA_HUMAN	EIF2B1	305	Homo sapiens	1:Experimental evidence at protein level	Translation initiation factor eIF-2B subunit alpha	1.0	0.999	12	53	53	53	8	11	4	7	6	17	8	11	4	7	6	17	8	11	4	7	6	17	7.1035814E8	6.5524032E8	2.87759168E8	8.2633056E8	6.6325773E8	2.54220954E9	1.50951136E8	1.5404248E8	1.20026336E8	1.90127008E8	2.11438816E8	4.9462192E8	
sp|Q14240|IF4A2_HUMAN	Q14240	IF4A2_HUMAN	EIF4A2	407	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic initiation factor 4A-II	1.0	0.999	31	66	66	208	10	15	11	12	9	9	10	15	11	12	9	9	32	42	29	36	35	34	2.07932032E9	3.58335155E9	1.16374643E9	2.81155942E9	1.55941594E9	2.50694016E9	9.7504288E8	9.1664659E8	6.4441018E8	1.03202509E9	6.155399E8	6.9040525E8	
sp|Q14241|ELOA1_HUMAN	Q14241	ELOA1_HUMAN	ELOA	798	Homo sapiens	1:Experimental evidence at protein level	Elongin-A	0.9995	0.999	2	4	4	4	0	0	1	2	1	0	0	0	1	2	1	0	0	0	1	2	1	0	0.0	0.0	0.0	4.2798004E7	1.4097985E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14242|SELPL_HUMAN	Q14242	SELPL_HUMAN	SELPLG	412	Homo sapiens	1:Experimental evidence at protein level	P-selectin glycoprotein ligand 1	0.9973	0.999	2	4	4	4	0	1	1	2	0	0	0	1	1	2	0	0	0	1	1	2	0	0	0.0	3.7287028E7	2.7556178E7	1.36619456E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14244|MAP7_HUMAN	Q14244	MAP7_HUMAN	MAP7	749	Homo sapiens	1:Experimental evidence at protein level	Ensconsin	1.0	0.999	10	24	24	24	3	4	7	0	6	4	3	4	7	0	6	4	3	4	7	0	6	4	7.3161136E7	3.95478208E8	3.88608704E8	0.0	3.4989392E8	2.02859296E8	7.7926456E7	1.79967648E8	1.4935936E8	0.0	1.5070552E8	6.882372E7	
sp|Q14247|SRC8_HUMAN	Q14247	SRC8_HUMAN	CTTN	550	Homo sapiens	1:Experimental evidence at protein level	Src substrate cortactin	1.0	0.999	36	147	147	147	18	25	22	31	27	24	18	25	22	31	27	24	18	25	22	31	27	24	1.51537062E9	2.60265549E9	2.42586086E9	1.10121779E10	3.9829504E9	4.28448845E9	5.15895488E8	7.192743E8	5.7218701E8	8.2139443E8	8.2112122E8	8.319161E8	
sp|Q14249|NUCG_HUMAN	Q14249	NUCG_HUMAN	ENDOG	297	Homo sapiens	1:Experimental evidence at protein level	Endonuclease	0.9995	0.999	2	2	2	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0.0	0.0	4.3363724E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14254|FLOT2_HUMAN	Q14254	FLOT2_HUMAN	FLOT2	428	Homo sapiens	1:Experimental evidence at protein level	Flotillin-2	1.0	0.999	26	122	122	122	21	19	17	24	20	21	21	19	17	24	20	21	21	19	17	24	20	21	2.7802775E9	2.55379072E9	1.92277747E9	4.0695616E9	2.73484032E9	3.22888602E9	4.59408288E8	4.10655744E8	3.832248E8	5.25509408E8	3.9960416E8	4.9787936E8	
sp|Q14257|RCN2_HUMAN	Q14257	RCN2_HUMAN	RCN2	317	Homo sapiens	1:Experimental evidence at protein level	Reticulocalbin-2	1.0	0.999	15	73	73	73	9	10	10	18	8	18	9	10	10	18	8	18	9	10	10	18	8	18	3.66192832E8	5.5540704E8	5.9576563E8	2.26573542E9	6.6699987E8	1.48849254E9	2.14001872E8	1.92375504E8	1.90999072E8	4.4315744E8	2.50266288E8	3.2654512E8	
sp|Q14258|TRI25_HUMAN	Q14258	TRI25_HUMAN	TRIM25	630	Homo sapiens	1:Experimental evidence at protein level	E3 ubiquitin/ISG15 ligase TRIM25	1.0	0.999	20	57	57	57	12	6	5	15	10	9	12	6	5	15	10	9	12	6	5	15	10	9	7.7377786E8	2.51691264E8	1.8170936E8	1.60456678E9	1.06111347E9	1.35059174E9	1.39985728E8	1.04042872E8	8.0438536E7	2.92420352E8	1.6958728E8	2.33544896E8	
sp|Q14289|FAK2_HUMAN	Q14289	FAK2_HUMAN	PTK2B	1009	Homo sapiens	1:Experimental evidence at protein level	Protein-tyrosine kinase 2-beta	1.0	0.999	28	66	62	66	9	20	19	6	2	10	9	19	19	5	1	9	9	20	19	6	2	10	2.0564208E8	1.05567725E9	8.7052429E8	3.5481104E8	1.43682768E8	6.615463E8	1.16077496E8	2.06300032E8	1.80469456E8	1.01635776E8	7.4131576E7	1.56109184E8	
sp|Q14314|FGL2_HUMAN	Q14314	FGL2_HUMAN	FGL2	439	Homo sapiens	1:Experimental evidence at protein level	Fibroleukin	1.0	0.999	6	7	7	7	0	0	0	6	1	0	0	0	0	6	1	0	0	0	0	6	1	0	0.0	0.0	0.0	3.12091904E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14315|FLNC_HUMAN	Q14315	FLNC_HUMAN	FLNC	2725	Homo sapiens	1:Experimental evidence at protein level	Filamin-C	1.0	0.999	136	482	465	562	63	51	18	140	136	74	59	49	16	138	132	71	74	57	24	157	156	94	5.3728328E9	2.74848435E9	1.0399049E9	3.13499996E10	2.9173033E10	9.689602E9	3.36560736E8	2.26916992E8	1.36616144E8	1.38572608E9	1.37872614E9	5.4902419E8	
sp|Q14318|FKBP8_HUMAN	Q14318	FKBP8_HUMAN	FKBP8	412	Homo sapiens	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase FKBP8	1.0	0.999	10	53	53	53	12	8	8	9	7	9	12	8	8	9	7	9	12	8	8	9	7	9	9.4592909E8	4.77869056E8	4.65675104E8	8.1212538E8	5.1560032E8	7.2279187E8	2.76038656E8	2.09660592E8	2.36570704E8	2.26652688E8	2.07761808E8	2.0534216E8	
sp|Q14320|FA50A_HUMAN	Q14320	FA50A_HUMAN	FAM50A	339	Homo sapiens	1:Experimental evidence at protein level	Protein FAM50A	1.0	0.999	6	6	6	6	1	0	1	2	1	1	1	0	1	2	1	1	1	0	1	2	1	1	0.0	0.0	0.0	8.3589472E7	2.5615604E7	5482428.5	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14331|FRG1_HUMAN	Q14331	FRG1_HUMAN	FRG1	258	Homo sapiens	1:Experimental evidence at protein level	Protein FRG1	0.9995	0.999	2	2	2	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0.0	0.0	0.0	0.0	3.2830552E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14344|GNA13_HUMAN	Q14344	GNA13_HUMAN	GNA13	377	Homo sapiens	1:Experimental evidence at protein level	Guanine nucleotide-binding protein subunit alpha-13	1.0	0.999	24	128	126	158	23	24	23	17	24	17	22	24	23	17	24	16	30	31	29	21	27	20	4.5639854E9	3.61527706E9	5.0789504E9	2.09696384E9	2.88576077E9	2.75425766E9	5.8307648E8	3.71503616E8	5.6175334E8	3.1227424E8	3.20689344E8	3.50168928E8	
sp|Q14353|GAMT_HUMAN	Q14353	GAMT_HUMAN	GAMT	236	Homo sapiens	1:Experimental evidence at protein level	Guanidinoacetate	1.0	0.999	8	38	38	38	6	8	6	3	11	4	6	8	6	3	11	4	6	8	6	3	11	4	3.52768128E8	4.77674944E8	4.04216352E8	1.304204E8	9.8012909E8	2.19953488E8	1.35106048E8	1.18563384E8	1.27391664E8	1.4412712E8	2.1439128E8	8.7016944E7	
sp|Q14376|GALE_HUMAN	Q14376	GALE_HUMAN	GALE	348	Homo sapiens	1:Experimental evidence at protein level	UDP-glucose 4-epimerase	1.0	0.999	7	22	22	22	4	4	3	3	4	4	4	4	3	3	4	4	4	4	3	3	4	4	2.47548272E8	1.79407008E8	1.81031936E8	4.1697524E7	1.96421248E8	7.7518656E7	7.15928E7	8.1818192E7	8.6443296E7	0.0	9.3512584E7	1.11725304E8	
sp|Q14416|GRM2_HUMAN	Q14416	GRM2_HUMAN	GRM2	872	Homo sapiens	1:Experimental evidence at protein level	Metabotropic glutamate receptor 2	1.0	0.999	12	22	22	28	6	4	12	0	0	0	6	4	12	0	0	0	7	6	14	1	0	0	2.12251056E8	1.45884E8	5.8332506E8	0.0	0.0	0.0	6.3872856E7	8.2791864E7	9.003908E7	0.0	0.0	0.0	
sp|Q14444|CAPR1_HUMAN	Q14444	CAPR1_HUMAN	CAPRIN1	709	Homo sapiens	1:Experimental evidence at protein level	Caprin-1	1.0	0.999	17	61	61	61	8	7	6	13	13	14	8	7	6	13	13	14	8	7	6	13	13	14	4.32344992E8	4.08879264E8	3.014936E8	7.3039213E8	1.18868454E9	8.8095379E8	1.34905232E8	1.44948624E8	1.00202704E8	3.06778496E8	2.29490064E8	2.0246088E8	
sp|Q14457|BECN1_HUMAN	Q14457	BECN1_HUMAN	BECN1	450	Homo sapiens	1:Experimental evidence at protein level	Beclin-1	1.0	0.999	4	6	6	6	0	1	0	2	2	1	0	1	0	2	2	1	0	1	0	2	2	1	0.0	4.005504E7	0.0	4.826024E7	4.3072848E7	3.4241608E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14498|RBM39_HUMAN	Q14498	RBM39_HUMAN	RBM39	530	Homo sapiens	1:Experimental evidence at protein level	RNA-binding protein 39	1.0	0.999	13	47	40	47	7	7	5	9	14	5	6	6	5	6	12	5	7	7	5	9	14	5	5.4085389E8	6.737177E8	2.47155008E8	7.7354394E8	1.22855283E9	8.4798733E8	1.63153632E8	1.66576192E8	1.26972288E8	2.79705536E8	3.48475776E8	3.0344368E8	
sp|Q14515|SPRL1_HUMAN	Q14515	SPRL1_HUMAN	SPARCL1	664	Homo sapiens	1:Experimental evidence at protein level	SPARC-like protein 1	1.0	0.999	22	102	102	102	18	11	13	16	21	23	18	11	13	16	21	23	18	11	13	16	21	23	1.77362368E9	5.7923488E8	5.9674106E8	9.9034925E8	2.24558362E9	3.0621271E9	4.04354144E8	2.16943568E8	3.08887136E8	2.05844304E8	4.78276E8	6.6796666E8	
sp|Q14520|HABP2_HUMAN	Q14520	HABP2_HUMAN	HABP2	560	Homo sapiens	1:Experimental evidence at protein level	Hyaluronan-binding protein 2	1.0	0.999	4	12	12	12	1	1	1	3	2	4	1	1	1	3	2	4	1	1	1	3	2	4	4.6579024E7	1.36762368E8	2.0277954E7	2.53913376E8	5.618466E7	3.98835712E8	0.0	0.0	0.0	1.49747568E8	0.0	2.33389968E8	
sp|Q14542|S29A2_HUMAN	Q14542	S29A2_HUMAN	SLC29A2	456	Homo sapiens	1:Experimental evidence at protein level	Equilibrative nucleoside transporter 2	0.9036	0.9954	1	2	2	2	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14554|PDIA5_HUMAN	Q14554	PDIA5_HUMAN	PDIA5	519	Homo sapiens	1:Experimental evidence at protein level	Protein disulfide-isomerase A5	1.0	0.999	11	21	21	21	0	1	0	6	9	5	0	1	0	6	9	5	0	1	0	6	9	5	0.0	3.3018774E7	0.0	5.35381824E8	4.4295584E8	2.24159936E8	0.0	0.0	0.0	1.6289464E8	9.7044576E7	1.32007104E8	
sp|Q14558|KPRA_HUMAN	Q14558	KPRA_HUMAN	PRPSAP1	356	Homo sapiens	1:Experimental evidence at protein level	Phosphoribosyl pyrophosphate synthase-associated protein 1	1.0	0.999	17	62	62	84	14	14	12	7	7	8	14	14	12	7	7	8	19	18	16	12	10	9	7.4339405E8	5.02470976E8	6.862743E8	2.29680288E8	2.65278176E8	2.3435048E8	1.63503296E8	1.5806296E8	1.4110192E8	8.6337128E7	7.7115936E7	8.8126944E7	
sp|Q14562|DHX8_HUMAN	Q14562	DHX8_HUMAN	DHX8	1220	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DHX8	0.9772	0.999	2	1	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14566|MCM6_HUMAN	Q14566	MCM6_HUMAN	MCM6	821	Homo sapiens	1:Experimental evidence at protein level	DNA replication licensing factor MCM6	1.0	0.999	13	28	28	28	0	4	1	9	8	6	0	4	1	9	8	6	0	4	1	9	8	6	0.0	6.218652E7	0.0	3.52881952E8	1.48955488E8	1.40702688E8	0.0	6.3717248E7	0.0	7.5802248E7	8.4260792E7	4.9093536E7	
sp|Q14568|HS902_HUMAN	Q14568	HS902_HUMAN	HSP90AA2P	343	Homo sapiens	1:Experimental evidence at protein level	Heat shock protein HSP 90-alpha A2	1.0	0.999	13	4	4	146	0	3	0	1	0	0	0	3	0	1	0	0	22	28	21	27	25	23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14571|ITPR2_HUMAN	Q14571	ITPR2_HUMAN	ITPR2	2701	Homo sapiens	1:Experimental evidence at protein level	Inositol 1,4,5-trisphosphate receptor type 2	1.0	0.999	54	141	109	141	14	7	8	34	30	48	9	3	5	28	25	39	14	7	8	34	30	48	5.16575168E8	1.44188304E8	3.29233696E8	1.55864102E9	1.26124966E9	3.40045363E9	1.00498256E8	7.8019944E7	9.5715976E7	1.53866144E8	1.29146056E8	2.84603232E8	
sp|Q14573|ITPR3_HUMAN	Q14573	ITPR3_HUMAN	ITPR3	2671	Homo sapiens	1:Experimental evidence at protein level	Inositol 1,4,5-trisphosphate receptor type 3	1.0	0.999	17	9	9	35	0	0	0	0	4	5	0	0	0	0	4	5	3	3	3	5	8	13	0.0	0.0	0.0	0.0	3.3644104E7	1.99672432E8	0.0	0.0	0.0	0.0	1.674032E7	6.3858884E7	
sp|Q14576|ELAV3_HUMAN	Q14576	ELAV3_HUMAN	ELAVL3	367	Homo sapiens	2:Experimental evidence at transcript level	ELAV-like protein 3	1.0	0.999	11	9	9	31	2	1	3	0	2	1	2	1	3	0	2	1	7	6	9	1	5	3	9733269.0	2.568958E7	6.4389972E7	0.0	3.774928E7	2.4696224E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14596|NBR1_HUMAN	Q14596	NBR1_HUMAN	NBR1	966	Homo sapiens	1:Experimental evidence at protein level	Next to BRCA1 gene 1 protein	0.9962	0.999	2	2	2	2	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0.0	0.0	6.0814008E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14624|ITIH4_HUMAN	Q14624	ITIH4_HUMAN	ITIH4	930	Homo sapiens	1:Experimental evidence at protein level	Inter-alpha-trypsin inhibitor heavy chain H4	1.0	0.999	30	124	124	124	9	13	17	26	27	32	9	13	17	26	27	32	9	13	17	26	27	32	5.09065856E8	7.0614963E8	1.40852634E9	2.84510874E9	4.14812621E9	5.6108452E9	1.95063296E8	1.9359784E8	2.36779168E8	6.1100915E8	6.7234086E8	1.15582758E9	
sp|Q14642|I5P1_HUMAN	Q14642	I5P1_HUMAN	INPP5A	412	Homo sapiens	1:Experimental evidence at protein level	Inositol polyphosphate-5-phosphatase A	1.0	0.999	8	16	16	16	6	4	4	1	1	0	6	4	4	1	1	0	6	4	4	1	1	0	2.60383904E8	9.9233456E7	1.99472016E8	0.0	0.0	0.0	7.171976E7	8.2237664E7	7.9610104E7	0.0	0.0	0.0	
sp|Q14643|ITPR1_HUMAN	Q14643	ITPR1_HUMAN	ITPR1	2758	Homo sapiens	1:Experimental evidence at protein level	Inositol 1,4,5-trisphosphate receptor type 1	1.0	0.999	40	67	65	93	9	16	22	5	6	9	9	16	21	5	6	8	12	20	24	11	11	15	3.00697024E8	4.94147648E8	9.4347565E8	1.50727984E8	5.7797736E7	2.74930432E8	7.141492E7	9.365616E7	1.2181148E8	6.8374176E7	2.9264002E7	8.7257544E7	
sp|Q14644|RASA3_HUMAN	Q14644	RASA3_HUMAN	RASA3	834	Homo sapiens	1:Experimental evidence at protein level	Ras	1.0	0.999	4	8	8	8	1	1	2	0	4	0	1	1	2	0	4	0	1	1	2	0	4	0	0.0	5917892.5	4.334684E7	0.0	8.69096E7	0.0	0.0	0.0	3.2382176E7	0.0	3.2407016E7	0.0	
sp|Q14653|IRF3_HUMAN	Q14653	IRF3_HUMAN	IRF3	427	Homo sapiens	1:Experimental evidence at protein level	Interferon regulatory factor 3	1.0	0.999	5	10	10	10	3	0	0	3	4	0	3	0	0	3	4	0	3	0	0	3	4	0	2.0905904E7	0.0	0.0	1.55256032E8	5.2229264E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14657|LAGE3_HUMAN	Q14657	LAGE3_HUMAN	LAGE3	143	Homo sapiens	1:Experimental evidence at protein level	EKC/KEOPS complex subunit LAGE3	1.0	0.999	4	16	16	16	4	2	2	3	4	1	4	2	2	3	4	1	4	2	2	3	4	1	4.2049536E7	8262855.5	3.5603644E7	1.26658848E8	1.35564656E8	9639459.0	4.2876708E7	0.0	3.8343604E7	6.7678184E7	5.7582E7	0.0	
sp|Q14669|TRIPC_HUMAN	Q14669	TRIPC_HUMAN	TRIP12	1992	Homo sapiens	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase TRIP12	1.0	0.999	27	46	46	46	3	4	4	15	17	3	3	4	4	15	17	3	3	4	4	15	17	3	3.17296704E8	7.4374144E7	5.36491936E8	5.18993024E8	7.1572288E8	9.9674936E7	1.13594696E8	9.6725176E7	8.3267992E7	1.67206064E8	2.00603296E8	1.27894464E8	
sp|Q14671|PUM1_HUMAN	Q14671	PUM1_HUMAN	PUM1	1186	Homo sapiens	1:Experimental evidence at protein level	Pumilio homolog 1	1.0	0.999	9	17	13	17	4	4	0	3	3	3	4	3	0	2	2	2	4	4	0	3	3	3	8.2196784E7	1.24057736E8	0.0	8.322712E7	3.1397774E7	8.386532E7	3.2175146E7	4.2761344E7	0.0	7.4960784E7	6.9523744E7	5.533764E7	
sp|Q14676|MDC1_HUMAN	Q14676	MDC1_HUMAN	MDC1	2089	Homo sapiens	1:Experimental evidence at protein level	Mediator of DNA damage checkpoint protein 1	1.0	0.999	4	7	7	7	1	1	0	2	2	1	1	1	0	2	2	1	1	1	0	2	2	1	1.1296709E7	1.1370047E7	0.0	2.5263672E7	3.1199536E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14677|EPN4_HUMAN	Q14677	EPN4_HUMAN	CLINT1	625	Homo sapiens	1:Experimental evidence at protein level	Clathrin interactor 1	1.0	0.999	16	59	59	59	8	5	7	17	15	7	8	5	7	17	15	7	8	5	7	17	15	7	3.70472672E8	2.772672E8	3.36903328E8	2.44508083E9	8.8345555E8	2.34010464E8	1.10920144E8	1.30816752E8	1.0938036E8	2.36131888E8	1.85198096E8	1.98095328E8	
sp|Q14678|KANK1_HUMAN	Q14678	KANK1_HUMAN	KANK1	1352	Homo sapiens	1:Experimental evidence at protein level	KN motif and ankyrin repeat domain-containing protein 1	1.0	0.9989	4	3	3	6	0	1	1	0	1	0	0	1	1	0	1	0	0	1	1	2	1	1	0.0	2.656413E7	1.6391836E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14679|TTLL4_HUMAN	Q14679	TTLL4_HUMAN	TTLL4	1199	Homo sapiens	1:Experimental evidence at protein level	Tubulin monoglutamylase TTLL4	0.9686	0.9986	1	2	2	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0.0	0.0	0.0	3.0493984E8	0.0	3.36949472E8	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14683|SMC1A_HUMAN	Q14683	SMC1A_HUMAN	SMC1A	1233	Homo sapiens	1:Experimental evidence at protein level	Structural maintenance of chromosomes protein 1A	1.0	0.999	32	84	84	84	10	16	10	17	15	16	10	16	10	17	15	16	10	16	10	17	15	16	4.3567552E8	9.9049152E8	1.14453914E9	1.03094624E9	1.37855603E9	1.92919232E9	3.25838176E8	3.4055168E8	2.59109904E8	4.16373056E8	5.5654829E8	4.1696768E8	
sp|Q14684|RRP1B_HUMAN	Q14684	RRP1B_HUMAN	RRP1B	758	Homo sapiens	1:Experimental evidence at protein level	Ribosomal RNA processing protein 1 homolog B	0.9772	0.999	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.0	0.0	0.0	3.0563288E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14689|DIP2A_HUMAN	Q14689	DIP2A_HUMAN	DIP2A	1571	Homo sapiens	1:Experimental evidence at protein level	Disco-interacting protein 2 homolog A	1.0	0.999	14	30	21	35	5	6	5	3	7	4	3	4	4	1	6	3	6	6	7	4	8	4	2.468912E8	3.1734848E8	1.21515632E8	9.8116536E7	2.7187952E8	9.8992664E7	1.07511792E8	1.01884848E8	1.02924712E8	4.1860904E7	7.1744184E7	5.3484476E7	
sp|Q14690|RRP5_HUMAN	Q14690	RRP5_HUMAN	PDCD11	1871	Homo sapiens	1:Experimental evidence at protein level	Protein RRP5 homolog	1.0	0.999	9	12	12	12	0	0	0	6	4	2	0	0	0	6	4	2	0	0	0	6	4	2	0.0	0.0	0.0	6.0182288E7	3.0075776E8	1.4635343E7	0.0	0.0	0.0	5.8942912E7	8.967856E7	0.0	
sp|Q14693|LPIN1_HUMAN	Q14693	LPIN1_HUMAN	LPIN1	890	Homo sapiens	1:Experimental evidence at protein level	Phosphatidate phosphatase LPIN1	0.9759	0.9989	2	1	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0.0	0.0	0.0	1.2275406E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14694|UBP10_HUMAN	Q14694	UBP10_HUMAN	USP10	798	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin carboxyl-terminal hydrolase 10	1.0	0.999	15	44	44	44	3	9	5	10	9	8	3	9	5	10	9	8	3	9	5	10	9	8	1.51502208E8	5.9521222E8	1.942672E8	5.31756416E8	5.03626336E8	4.81767296E8	7.8483136E7	1.04397616E8	7.6300456E7	1.00585296E8	1.05921888E8	9.6595072E7	
sp|Q14696|MESD_HUMAN	Q14696	MESD_HUMAN	MESD	234	Homo sapiens	1:Experimental evidence at protein level	LRP chaperone MESD	1.0	0.999	10	42	42	42	6	6	4	8	9	9	6	6	4	8	9	9	6	6	4	8	9	9	6.832631E8	6.006048E8	1.24219616E8	1.36857267E9	1.19808538E9	8.8560698E8	1.44396128E8	1.36911248E8	1.17692968E8	3.04791008E8	2.65945136E8	2.75307744E8	
sp|Q14697|GANAB_HUMAN	Q14697	GANAB_HUMAN	GANAB	944	Homo sapiens	1:Experimental evidence at protein level	Neutral alpha-glucosidase AB	1.0	0.999	62	513	513	513	63	62	54	121	101	112	63	62	54	121	101	112	63	62	54	121	101	112	9.8020874E9	1.05654641E10	6.3063762E9	5.297927E10	3.8442463E10	4.4181606E10	9.4195277E8	7.6029536E8	7.0080269E8	2.89565798E9	2.35189069E9	2.85506714E9	
sp|Q14699|RFTN1_HUMAN	Q14699	RFTN1_HUMAN	RFTN1	578	Homo sapiens	1:Experimental evidence at protein level	Raftlin	1.0	0.999	17	67	67	67	10	13	7	14	9	14	10	13	7	14	9	14	10	13	7	14	9	14	5.5294835E8	9.610281E8	3.04857504E8	1.33337523E9	7.5808096E8	1.24634278E9	1.26416856E8	1.67549792E8	8.4066376E7	2.43918128E8	1.454072E8	2.620512E8	
sp|Q14721|KCNB1_HUMAN	Q14721	KCNB1_HUMAN	KCNB1	858	Homo sapiens	1:Experimental evidence at protein level	Potassium voltage-gated channel subfamily B member 1	0.9956	0.9985	2	2	2	2	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0.0	0.0	5269628.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14722|KCAB1_HUMAN	Q14722	KCAB1_HUMAN	KCNAB1	419	Homo sapiens	1:Experimental evidence at protein level	Voltage-gated potassium channel subunit beta-1	0.9771	0.999	3	1	1	6	0	0	0	1	0	0	0	0	0	1	0	0	1	1	2	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14728|MFS10_HUMAN	Q14728	MFS10_HUMAN	MFSD10	455	Homo sapiens	1:Experimental evidence at protein level	Major facilitator superfamily domain-containing protein 10	1.0	0.999	3	6	6	6	0	1	1	0	2	2	0	1	1	0	2	2	0	1	1	0	2	2	0.0	2.3153316E7	1.7277758E7	0.0	7.700768E7	1.98582736E8	0.0	0.0	0.0	0.0	9.9458296E7	9.026804E7	
sp|Q14738|2A5D_HUMAN	Q14738	2A5D_HUMAN	PPP2R5D	602	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	1.0	0.999	22	114	89	114	18	28	23	19	14	12	13	20	19	16	11	10	18	28	23	19	14	12	1.79943373E9	2.42069146E9	1.74989094E9	1.41546138E9	1.07803392E9	8.779712E8	3.26245568E8	3.71718304E8	3.57204608E8	2.7078464E8	2.23690672E8	1.98397264E8	
sp|Q14739|LBR_HUMAN	Q14739	LBR_HUMAN	LBR	615	Homo sapiens	1:Experimental evidence at protein level	Delta(14)-sterol reductase LBR	1.0	0.999	10	28	28	28	2	4	0	9	9	4	2	4	0	9	9	4	2	4	0	9	9	4	1.51677264E8	4.11489056E8	0.0	1.09979878E9	1.50312358E9	5.7319309E8	1.20669072E8	2.26721568E8	0.0	2.8872128E8	3.30549248E8	2.59805456E8	
